Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16131484,"The Infinite Sea (The 5th Wave, #2)",Rick Yancey,"Yancey, Rick",,1101599014,9781101599013,0,3.83,Putnam Juvenile,Kindle Edition,320,2014,2014,,2021/08/20,,,read,,,,1,0
22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,,,0,4.57,Orion Children's Books,Kindle Edition,561,2016,2016,,2021/08/20,,,read,,,,1,0
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,1627792120,9781627792127,0,4.46,Henry Holt & Company,Hardcover,480,2015,2015,,2021/08/20,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,1250012570,9781250012579,5,3.93,St. Martin's Press,Hardcover,328,2013,2012,,2021/08/20,,,read,,,,1,0
9460487,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,"Riggs, Ransom",,1594744769,9781594744761,3,3.92,Quirk,Hardcover,352,2011,2011,,2021/08/20,,,read,,,,1,0
28588345,"The Midnight Star (The Young Elites, #3)",Marie Lu,"Lu, Marie",,399167854,9780399167850,0,4.10,G.P. Putnam's Sons Books for Young Readers,Hardcover,316,2016,2016,,2021/08/20,,,read,,,,1,0
23846013,"The Rose Society (The Young Elites, #2)",Marie Lu,"Lu, Marie",,399167846,9780399167843,0,4.01,G.P. Putnam's Sons Books for Young Readers,Hardcover,398,2015,2015,,2021/08/20,,,read,,,,1,0
14290364,"Champion (Legend, #3)",Marie Lu,"Lu, Marie",,399256776,9780399256776,0,4.31,Putnam Juvenile,Hardcover,369,2013,2013,,2021/08/20,,,read,,,,1,0
13414446,"Prodigy (Legend, #2)",Marie Lu,"Lu, Marie",,399256768,9780399256769,0,4.22,Putnam Juvenile,Hardcover,371,2013,2013,,2021/08/20,,,read,,,,1,0
13125947,"Reached (Matched, #3)",Ally Condie,"Condie, Ally",,525423664,9780525423669,0,3.54,Penguin,Hardcover,512,2012,2012,,2021/08/20,,,read,,,,1,0
15812814,"Crossed (Matched, #2)",Ally Condie,"Condie, Ally",,142421715,9780142421710,0,3.52,Speak,Paperback,367,2013,2011,,2021/08/20,,,read,,,,1,0
50,"Hatchet (Brian's Saga, #1)",Gary Paulsen,"Paulsen, Gary",,689840926,9780689840920,0,3.79,Atheneum Books for Young Readers: Richard Jackson Books,Hardcover,208,2000,1987,,2021/08/20,,,read,,,,1,0
13152,"The Angel Experiment (Maximum Ride, #1)",James  Patterson,"Patterson, James",,446617792,9780446617796,0,4.07,Grand Central Publishing,Mass Market Paperback,445,2006,2005,,2021/08/20,,,read,,,,1,0
6138594,"The Soul (The Host, #3)",Stephenie Meyer,"Meyer, Stephenie",,,,0,4.11,,Hardcover,,,,,2021/08/20,,,read,,,,1,0
6138606,"The Seeker (The Host, #2)",Stephenie Meyer,"Meyer, Stephenie",,,,0,4.08,,Hardcover,,,,,2021/08/20,,,read,,,,1,0
231804,The Outsiders,S.E. Hinton,"Hinton, S.E.",,670532576,9780670532575,4,4.14,Puffin Books (US/CAN),Mass Market Paperback,208,1997,1967,,2021/08/20,,,read,,,,1,0
18656072,The Ice Cream Queen of Orchard Street,Susan Jane Gilman,"Gilman, Susan Jane",,446578932,9780446578936,4,3.74,Grand Central Publishing,Hardcover,505,2014,2014,,2021/08/20,,,read,,,,1,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,7524277,9780007524273,0,3.60,HarperCollins Children's Book's,Hardcover,531,2013,2013,,2021/08/20,,,read,,,,1,0
